subject,epoch,SaO2_min,SaO2_max,SaO2_avg,SaO2_SD,SaO2_kurtosis,PR_min,PR_max,PR_avg,PR_SD,PR_kurtosis,position_min,position_max,position_avg,position_SD,position_kurtosis,light_min,light_max,light_avg,light_SD,light_kurtosis,ox_stat_min,ox_stat_max,ox_stat_avg,ox_stat_SD,ox_stat_kurtosis,airflow_min,airflow_max,airflow_avg,airflow_SD,airflow_kurtosis,ThorRes_min,ThorRes_max,ThorRes_avg,ThorRes_SD,ThorRes_kurtosis,AbdoRes_min,AbdoRes_max,AbdoRes_avg,AbdoRes_SD,AbdoRes_kurtosis,EOG(L)_min,EOG(L)_max,EOG(L)_avg,EOG(L)_SD,EOG(L)_kurtosis,EOG(R)_min,EOG(R)_max,EOG(R)_avg,EOG(R)_SD,EOG(R)_kurtosis,EEG(sec)_min,EEG(sec)_max,EEG(sec)_avg,EEG(sec)_SD,EEG(sec)_kurtosis,EEG_min,EEG_max,EEG_avg,EEG_SD,EEG_kurtosis,ECG_min,ECG_max,ECG_avg,ECG_SD,ECG_kurtosis,EMG_min,EMG_max,EMG_avg,EMG_SD,EMG_kurtosis,stage
shhs2-200077,1167,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,6.308848558071264e-19,0.037020986713779694,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9075630252100841,0.08943089430894309,0.4605504587155963,0.013757642465459477,0.7916160464208268,0.9838709677419356,0.024,0.5813134732566011,0.003094402252491765,0.1744441973030852,0.9916666666666668,0.016666666666666663,0.4721532810483471,0.002049092330575198,0.19841085366184216,0.0,1.0,0.9458405545927212,0.9943517082216328,0.0011818348320347533,0.0,1.0,0.2832049884148836,0.9955793072978922,0.0011737355892942475,0.0,1.0,0.4391251843566571,0.9932180456148,0.0011404613324449836,0.0,1.0,0.6297998109392013,0.9941932629680889,0.00016681428435576934,0.0,0.0,0.3795319383053815,0.995760788721598,0.00031378352095066947,0.0,1.0,0.9064663540515514,0.9642623458903844,0.007629835694336388,0
shhs2-200077,1344,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,6.308848558071264e-19,0.037020986713779694,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9075630252100841,0.09756097560975607,0.455045871559633,0.01495963076641749,0.7652094433795534,0.9758064516129034,0.024,0.5802979011509817,0.00343858276620675,0.1562436715077764,0.9833333333333334,0.008333333333333331,0.4726496575002482,0.002672769390439544,0.18655629388810505,0.0,1.0,0.7143847487001733,0.9982159918614368,0.00010122129924937384,0.0,1.0,0.3559186315932944,0.9974754475781744,0.00047889411605626936,0.0,1.0,0.5633741475051224,0.9984618983597144,0.0003491523987059833,0.0,1.0,0.5954278398008879,0.9925612746008879,0.0002561218829221085,0.0,0.0,0.3500320000598831,0.9933405298720968,0.0006301050393140438,0.0,1.0,0.9172426152145992,0.9636366589112836,0.0079184976944612,0
shhs2-200077,1315,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,6.308848558071264e-19,0.037020986713779694,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9075630252100841,0.08943089430894309,0.4605504587155963,0.015220278208607297,0.771229952769005,0.9758064516129034,0.024,0.5813811780636424,0.003422148526887409,0.1478857983595465,0.9833333333333334,0.016666666666666663,0.4726496575002482,0.002491895070891471,0.19976882763359946,0.0,1.0,0.7387926054303872,0.9974587183469441,0.00016516878010601477,0.0,1.0,0.3312491481531962,0.9974365194890876,0.0006543932123627139,0.0,1.0,0.5529709879537154,0.9982126317685932,0.0003940286582268249,0.0,1.0,0.6252408132007514,0.9924312377803626,0.0002283558178843709,0.0,0.0,0.3550060444557557,0.9940174532981092,0.0005506054630003421,0.0,1.0,0.9270571368836056,0.9616439968784388,0.008220954676640288,0
shhs2-200078,716,0.9688109161793376,0.9595635825679592,0.9664515806946818,0.0102544951451502,4.163336342344337e-17,0.2474847513047853,0.256105943270861,0.24963704123670835,0.011810249085416549,0.06187518414924133,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8139534883720931,0.3039215686274511,0.8651780325890162,0.10766105995253113,0.12582064815293406,0.6896551724137931,0.4070796460176991,0.4051507132253276,0.21811096942276767,0.04343620055789015,0.3513513513513514,0.9259259259259258,0.6531547922276401,0.37319139363618187,0.157517357808049,0.8983050847457628,0.06837606837606837,0.608700040371417,0.015348546368869587,0.05402888978785361,0.9075630252100841,0.05982905982905984,0.4129596893383951,0.016308770787649463,0.04676551985894055,0.8468468468468471,0.09821428571428573,0.5540418485623964,0.020839222784312425,0.12488362170576515,0.8703703703703705,0.1090909090909091,0.4551084508711626,0.022974509410450303,0.11409900888378202,0.6493506493506493,0.045871559633027525,0.9670050761421322,0.024325134025158162,0.7094706880598382,0.0,1.0,0.08928901355459631,0.9957023498043144,0.00021086695855646737,2
shhs2-200077,500,0.9694792395243848,0.9900392205690096,0.9755445805402106,0.0269463039484176,0.033093952028347716,0.5727307990690458,0.3352884571323833,0.5675400728919711,0.009366650132059015,0.13164339987751753,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9243697478991596,0.09756097560975607,0.4516819571865443,0.06708692086279078,0.03897487155211797,0.3951612903225806,0.784,0.5547054840893703,0.3405509551608413,0.047163274305043364,0.15000000000000002,0.6833333333333332,0.36870842847215335,0.32961306438102433,0.08140614030555518,0.8545454545454545,0.046296296296296315,0.6363951473136914,0.020896937674935605,0.06912682025544667,0.9082568807339448,0.21495327102803735,0.4549032302030802,0.04144610251361943,0.09898466077256536,0.936936936936937,0.2752293577981651,0.7389410751581259,0.017198295075307506,0.08217275279704167,0.8878504672897196,0.06422018348623854,0.6667623936533007,0.0155711485956532,0.04699393512838975,0.0,0.0,0.978617971682754,0.0481055009576922,0.7401702018212929,0.5523809523809523,0.5000000000000001,0.2371434544965801,0.03464884232051549,0.12085475860908786,5
shhs2-200077,712,0.97965282634959,0.9691215837639297,0.9754776710478446,0.00628957470018006,0.2630385487527632,0.5266263992020391,0.30596160014663426,0.5207193659106187,0.008908598158977056,0.11940997409126275,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.43089430894308944,0.4758409785932721,0.3128587930772451,0.012645447604808235,0.4193548387096775,0.52,0.5622884224779958,0.4511081366375286,0.0038115691602770975,0.6416666666666666,0.5833333333333333,0.4712598034349251,0.34550736835638485,0.02083580793213117,0.5181818181818181,0.9537037037037036,0.6562391681109185,0.14944375119564365,0.2437223828501411,0.19266055045871555,0.9532710280373832,0.4563854436418154,0.15794657301023318,0.24314543634725186,0.2702702702702703,0.7431192660550459,0.7383719203777208,0.09616099659088648,0.12612093092942905,0.4672897196261682,0.5321100917431193,0.6778727070395232,0.08973329936514138,0.09945745482951734,0.0,0.0,0.9763798388394644,0.04279343704088126,0.7459455634407973,0.7999999999999999,0.2,0.24102028015889604,0.071445827999949,0.02833214634472288,2
shhs2-200077,159,0.9593056526991796,0.9790823631949199,0.958081203032673,0.024855587501859226,0.07208297557645024,0.5372658760944253,0.3509294475247827,0.5618219454371747,0.04498110385369007,0.059373958281707474,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8617886178861789,0.4785932721712538,0.5125258127333696,0.08153119735760006,0.0,1.0,0.5549763033175354,0.49625018274879,0.10542895653589496,0.0,1.0,0.29157152784671897,0.5403019936764041,0.07876345457989202,0.0,1.0,0.6697284806470248,0.2519867480588229,0.331631793054445,0.6146788990825687,0.7383177570093458,0.4534550906364999,0.12419233840940652,0.22286408846629654,0.855855855855856,0.13761467889908258,0.7403466400071268,0.023644908509770454,0.05875424594470605,0.5514018691588786,0.13761467889908258,0.6782855296693828,0.03627692361452088,0.09226296760446764,0.0,0.0,0.9743250981522305,0.03961743401435466,0.7921796567911659,0.0,1.0,0.2450583913264239,0.08979090648061416,0.2282214119830009,0
shhs2-200078,950,0.6498773816261084,0.8185292485976698,0.7770095145380645,0.10468955112828997,0.08393996943359874,0.866188769414576,1.0,0.904554985764872,0.10377852002242527,0.0910443553259502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9166666666666666,0.5217491947499511,0.3705943556728354,0.0,1.0,0.7329511164755581,0.8460580831486048,0.044440040577633566,0.0,1.0,0.4211579422965211,0.944848788153122,0.005271343338782306,0.0,0.9999999999999998,0.6577396113819955,0.9811024498560948,0.004170637145951561,0.0,1.0,0.3043752523213565,0.9923730043649228,0.00041581512698698336,0.0,1.0,0.3031269017880431,0.9991658024746723,3.6083123608733614e-05,0.0,1.0,0.8344497967785641,0.98069210631267,0.0011551007997723376,0.0,1.0,0.4789394927106792,0.9957329453849982,0.0001756139067905088,0.0,1.0,0.4590572878897752,0.9931927102533109,0.0004808444848120042,0.0,1.0,0.9661387036632684,0.9581573866533226,0.005954207192039537,0
shhs2-200077,405,0.9593056526991796,0.9691215837639297,0.9647721522692774,0.016314622200248586,0.07990119707506306,0.5549983375817356,0.4007851044005559,0.5933565691235269,0.06847403031465718,0.06682828947260774,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008403361344537784,0.91869918699187,0.473394495412844,0.6799054545364654,0.016177118849491946,0.0,1.0,0.6704807041299932,0.461175836633854,0.10379110840167433,0.0,1.0,0.4785068996326815,0.5497659191145283,0.0541376181401877,0.0,1.0,0.6729347198151358,0.2425187644140001,0.15509272565872814,0.5779816513761467,0.485981308411215,0.4488380809595202,0.1488891187499794,0.08882320182719937,0.1711711711711712,1.0,0.7143090460965881,0.15233399033726247,0.24750614778598035,0.0,1.0,0.7208481411015782,0.21747514756048225,0.20408496294172931,0.0,0.0,0.9652677712613263,0.05309647362478945,0.7064300372557643,0.0,1.0,0.2479017950479376,0.3551388576150081,0.11564370479265335,0
shhs2-200077,430,0.9694792395243848,0.9790823631949199,0.9671139845020892,0.017899079202607825,0.062460164018010335,0.5266263992020391,0.3558172570224075,0.5533862920632673,0.03959682945203945,0.09015986719148368,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.06666666666666668,0.4988876515698589,0.4662625197680542,0.2016806722689075,0.6666666666666666,0.501834862385321,0.5642231921104364,0.01418261906042786,0.3387096774193549,1.0,0.5916723087339201,0.385119973981157,0.06436796010299119,0.33333333333333337,1.0,0.4955822495780801,0.3574320625028278,0.07857605290169772,0.21818181818181812,1.0,0.6334199884459849,0.17847907001358218,0.1770121828413449,0.1376146788990824,0.6074766355140186,0.4482588251328881,0.1618229606844515,0.15590845479346685,0.0,1.0,0.7347293297831272,0.1628226497507248,0.11135225989993414,0.0,1.0,0.658326452956169,0.21694553079626974,0.1547435907918686,0.0,0.0,0.9659526848237376,0.0411644359738774,0.7718356074589264,0.0,1.0,0.3105821212030703,0.7246049573277367,0.023959068968832157,2
